Symbol,Exchange,Sector,Industry
SATS,OLL,Consumer services,Other consumer services
SAVE,ST,Finance,Investment banks/Brokers
SB1NO,OLL,Finance,Savings banks
SBB-B,ST,Finance,Real estate development
SBB-D,ST,Finance,Real estate development
SCA-B,ST,Process industries,Pulp & paper
SCATC,OLL,Utilities,Alternative power generation
SCR,PA,Finance,Property/Casualty insurance
SDF,XETRA,Process industries,Chemicals: specialty
SDZ,SW,Health technology,Pharmaceuticals: major
SEA1,OLL,Transportation,Marine shipping
SEB-A,ST,Finance,Major banks
SECARE,ST,Health technology,Pharmaceuticals: major
SECU-B,ST,Commercial services,Miscellaneous commercial services
SESG,PA,Communications,Specialty telecommunications
SEYE,ST,Health technology,Medical specialties
SF,ST,Technology services,Packaged software
SFAST,ST,Finance,Real estate development
SGL,XETRA,Process industries,Industrial specialties
SGO,PA,Producer manufacturing,Building products
SGSN,SW,Commercial services,Miscellaneous commercial services
SHA0,XETRA,Producer manufacturing,Auto parts: OEM
SHB-A,ST,Finance,Major banks
SHB-B,ST,Finance,Major banks
SHL,XETRA,Health technology,Medical specialties
SHOT,ST,Consumer services,Hotels/Resorts/Cruise lines
SIE,XETRA,Producer manufacturing,Industrial machinery
SIGN,SW,Producer manufacturing,Industrial machinery
SIKA,SW,Process industries,Chemicals: major diversified
SINCH,ST,Technology services,Packaged software
SKA-B,ST,Industrial services,Engineering & construction
SKF-B,ST,Producer manufacturing,Metal fabrication
SLP-B,ST,Transportation,Air freight/Couriers
SOBI,ST,Health technology,Pharmaceuticals: major
SOI,PA,Electronic technology,Electronic components
SPIE,PA,Industrial services,Engineering & construction
SREN,SW,Finance,Multi-line insurance
SSAB-A,ST,Producer manufacturing,Metal fabrication
SSAB-B,ST,Producer manufacturing,Metal fabrication
STB,OLL,Finance,Savings banks
STE-R,ST,Process industries,Containers/Packaging
STLAP,PA,Consumer durables,Motor vehicles
STMN,SW,Health technology,Medical specialties
STMPA,PA,Electronic technology,Semiconductors
STOR-B,ST,Finance,Financial conglomerates
STORY-B,ST,Consumer services,Publishing: books/magazines
SU,PA,Producer manufacturing,Electrical products
SUBC,OLL,Industrial services,Oilfield services/Equipment
SVEAF,ST,Finance,Real estate development
SW,PA,Consumer services,Restaurants
SWEC-B,ST,Industrial services,Engineering & construction
SWED-A,ST,Finance,Major banks
SWON,SW,Distribution services,Electronics distributors
SY1,XETRA,Process industries,Chemicals: specialty
SYNSAM,ST,Retail trade,Specialty stores
TE,PA,Industrial services,Engineering & construction
TEG,XETRA,Finance,Real estate development
TEL,OLL,Communications,Major telecommunications
TEL2-B,ST,Communications,Major telecommunications
TELIA,ST,Communications,Specialty telecommunications
TEMN,SW,Technology services,Information technology services
TEP,PA,Commercial services,Miscellaneous commercial services
TFI,PA,Consumer services,Broadcasting
TGS,OLL,Technology services,Data processing services
THULE,ST,Consumer durables,Motor vehicles
TKA,XETRA,Non-energy minerals,Steel
TMV,XETRA,Technology services,Internet software/Services
TOM,OLL,Producer manufacturing,Miscellaneous manufacturing
TREL-B,ST,Producer manufacturing,Auto parts: OEM
TRMD-A,CO,Transportation,Marine shipping
TRUE-B,ST,Technology services,Packaged software
TRYG,CO,Finance,Insurance brokers/Services
TTE,PA,Energy minerals,Integrated oil
TUI1,XETRA,Consumer services,Other consumer services
UBI,PA,Technology services,Packaged software
UBSG,SW,Finance,Investment managers
UHR,SW,Consumer durables,Other consumer specialties
URW,PA,Finance,Real estate investment trusts
UTDI,XETRA,Communications,Major telecommunications
VAR,OLL,Energy minerals,Integrated oil
VEFAB,ST,Finance,Financial conglomerates
VER,ST,Technology services,Packaged software
VESTUM,ST,Industrial services,Engineering & construction
VICO,ST,Health technology,Pharmaceuticals: major
VIE,PA,Utilities,Water utilities
VIMIAN,ST,Health technology,Biotechnology
VITR,ST,Health technology,Medical specialties
VIV,PA,Consumer services,Media conglomerates
VJBA,CO,Finance,Regional banks
VK,PA,Non-energy minerals,Steel
VLA,PA,Health technology,Biotechnology
VNA,XETRA,Finance,Real estate development
VOLCAR-B,ST,Consumer durables,Motor vehicles
VOLV-A,ST,Producer manufacturing,Trucks/Construction/Farm machinery
VOLV-B,ST,Producer manufacturing,Trucks/Construction/Farm machinery
VOW3,XETRA,Consumer durables,Motor vehicles
VPLAY-B,ST,Consumer services,Cable/Satellite TV
VRLA,PA,Process industries,Containers/Packaging
VWS,CO,Producer manufacturing,Electrical products
WALL-B,ST,Finance,Real estate development
WAWI,OLL,Transportation,Marine shipping
WIHL,ST,Finance,Real estate development
WLN,PA,Commercial services,Miscellaneous commercial services
XFAB,PA,Electronic technology,Semiconductors
YAR,OLL,Process industries,Chemicals: agricultural
YUBICO,ST,Distribution services,Electronics distributors
ZAL,XETRA,Retail trade,Internet retail
ZEAL,CO,Health technology,Pharmaceuticals: major
ZURN,SW,Finance,Multi-line insurance
